pnode,person,a1,intermidiet1,a2,pre_gender,gender
https://r11.eu/rdf/resource/6f21cc33-baa9-417f-bd99-1cfd796e5ebc,"Aaron, brother of Alousianos",https://r11.eu/rdf/resource/70a752ee-07e3-4920-87a6-e5a00abd9aec,https://r11.eu/rdf/resource/fde823e6-cc8e-42e1-a5ce-b6ce8d79ac15,https://r11.eu/rdf/resource/46a3c44e-bdcd-48a3-8192-023a8df4eb6f,https://r11.eu/rdf/resource/e284157c-c3cd-46d6-92c3-26afb5565970,Male
https://r11.eu/rdf/resource/d0fc20c8-1dbd-4411-a796-9d954bc3671e,"Aaron, father of paroikos Demetrios at Kamena",https://r11.eu/rdf/resource/4ef3c62b-bf50-4b5f-9ed1-cd3ebefd3258,https://r11.eu/rdf/resource/6ee51b1a-7592-4b97-aba6-5a85d3e5c2fa,https://r11.eu/rdf/resource/9fefefd4-5335-46cb-8376-748e64bfedbd,https://r11.eu/rdf/resource/e284157c-c3cd-46d6-92c3-26afb5565970,Male
https://r11.eu/rdf/resource/3d45ce41-12d7-4374-868b-c10015e2937e,"Abasgos, servant of Eustathios Boilas",https://r11.eu/rdf/resource/44c583a6-b3c4-4bd8-9034-0b7537157961,https://r11.eu/rdf/resource/78fcea20-fdb3-4c1e-86da-5673383541a0,https://r11.eu/rdf/resource/1dca0aeb-e59d-4807-8e0c-7c44039cfdd1,https://r11.eu/rdf/resource/e284157c-c3cd-46d6-92c3-26afb5565970,Male
https://r11.eu/rdf/resource/a855b02a-e7c7-4946-bf6d-d50145715a69,"Abimelech, brother of Qutlumish",https://r11.eu/rdf/resource/8193b568-413f-4a0f-82b2-1d1128489ca9,https://r11.eu/rdf/resource/d5506243-87ad-413f-870d-c3a93743bd10,https://r11.eu/rdf/resource/0d5e723e-7217-4232-949e-cf5001d43473,https://r11.eu/rdf/resource/e284157c-c3cd-46d6-92c3-26afb5565970,Male
https://r11.eu/rdf/resource/55bdd4b9-4a34-48d4-a2c8-eee887606e34,"Ibrahim Yinal, half-brother of Tughrul Beg",https://r11.eu/rdf/resource/3151773c-d10f-4953-bb0a-21b6b0c3cb50,https://r11.eu/rdf/resource/5d9ad431-838a-4591-9ec4-2ff3e4aa06b8,https://r11.eu/rdf/resource/b4b58558-615d-4507-8a22-1b85a02355ce,https://r11.eu/rdf/resource/e284157c-c3cd-46d6-92c3-26afb5565970,Male
https://r11.eu/rdf/resource/85b4a3e5-275f-41b5-90ac-cdbe1da8c24e,"Adrianos, nephew of the Dalassenoi",https://r11.eu/rdf/resource/8fb94632-16f6-4a46-8996-e94660ef52fe,https://r11.eu/rdf/resource/451c15ed-364e-4073-83ba-79e8f1a2fbf4,https://r11.eu/rdf/resource/e61e6816-5cc0-4dde-ad40-ac4c8aeb6b98,https://r11.eu/rdf/resource/e284157c-c3cd-46d6-92c3-26afb5565970,Male
https://r11.eu/rdf/resource/6ef1d131-55dd-46fd-9a61-2b52f11095dd,"Adrianos Komnenos, brother of Alexios I",https://r11.eu/rdf/resource/fc6745cf-2996-407a-b5ff-031cfc31c31d,https://r11.eu/rdf/resource/f455b01c-d7a0-49f8-b915-d26111004471,https://r11.eu/rdf/resource/90fcf06e-0916-435f-96c5-38aaa5835a58,https://r11.eu/rdf/resource/e284157c-c3cd-46d6-92c3-26afb5565970,Male
https://r11.eu/rdf/resource/412fd05e-30c0-41a6-8e8c-edfaf5812308,"Adrianos, doux of Antioch",https://r11.eu/rdf/resource/2c648ae5-2965-48d6-a756-18e9a00b3494,https://r11.eu/rdf/resource/d2717815-4c5b-43c1-87db-05d8e9b32d25,https://r11.eu/rdf/resource/12b5e013-6148-4b45-accb-2c200850b7e0,https://r11.eu/rdf/resource/e284157c-c3cd-46d6-92c3-26afb5565970,Male
https://r11.eu/rdf/resource/85ee22b7-89e5-4269-8bc5-95b2796a7e28,"Agallianos, chartophylax of the sekreton and protoproedros",https://r11.eu/rdf/resource/c9c33cb9-53f0-41fa-8682-f2f1827bd5fa,https://r11.eu/rdf/resource/2b301586-018b-421a-b168-e3e096f44cd3,https://r11.eu/rdf/resource/dffdaf2a-aa23-4735-a4b9-bddb984b7675,https://r11.eu/rdf/resource/e284157c-c3cd-46d6-92c3-26afb5565970,Male
https://r11.eu/rdf/resource/76b48c5d-529b-4729-b6f9-d3e2473d6f1e,"Agathonikos, father of Iveron act witness Ioannes",https://r11.eu/rdf/resource/7d0ba033-9ed6-46c7-b8d6-53f1911fa57c,https://r11.eu/rdf/resource/b74c6459-9d54-46da-9bf4-b27237535b92,https://r11.eu/rdf/resource/4ba994e2-e2fd-4cd3-ab33-b0e5b2578688,https://r11.eu/rdf/resource/e284157c-c3cd-46d6-92c3-26afb5565970,Male
https://r11.eu/rdf/resource/80bd28a9-ba62-428b-9c66-7b89f045d28e,"Aimilianos, patriarch of Antioch",https://r11.eu/rdf/resource/74feb29b-3a70-4608-8313-a6751906712a,https://r11.eu/rdf/resource/bb53975c-9105-44dc-9938-33e4c4ec6a14,https://r11.eu/rdf/resource/a27b93f0-3d2c-4dc8-af20-213e95c8cc43,https://r11.eu/rdf/resource/e284157c-c3cd-46d6-92c3-26afb5565970,Male
https://r11.eu/rdf/resource/88e2e4b6-8525-46c8-81e4-f79f2e5f65b1,"Akindynos, tax-payer at chorion of Dobrobikeia",https://r11.eu/rdf/resource/380e4c5d-a2a3-459e-ac95-ad5b7521a678,https://r11.eu/rdf/resource/19103a65-aff7-4dab-a201-06c06d0d21d0,https://r11.eu/rdf/resource/689f5e88-83c0-4914-8c73-2926b46414ee,https://r11.eu/rdf/resource/e284157c-c3cd-46d6-92c3-26afb5565970,Male
